groupID;featureID;featureID.1;groupID.1;gene;transcript
ENSMUSG00000047215;ENSMUST00000151917;ENSMUST00000151917.6;ENSMUSG00000047215.15;0;1,18E-49
ENSMUSG00000047675;ENSMUST00000102696;ENSMUST00000102696.5;ENSMUSG00000047675.16;0;0
ENSMUSG00000047675;ENSMUST00000137423;ENSMUST00000137423.2;ENSMUSG00000047675.16;0;0
ENSMUSG00000048076;ENSMUST00000061242;ENSMUST00000061242.8;ENSMUSG00000048076.15;0.00176968497564099;0
ENSMUSG00000048076;ENSMUST00000163300;ENSMUST00000163300.8;ENSMUSG00000048076.15;0.00176968497564099;0
ENSMUSG00000048277;ENSMUST00000026649;ENSMUST00000026649.14;ENSMUSG00000048277.16;0.00923215328573677;0
ENSMUSG00000048277;ENSMUST00000120928;ENSMUST00000120928.2;ENSMUSG00000048277.16;0.00923215328573677;0
ENSMUSG00000048758;ENSMUST00000059802;ENSMUST00000059802.7;ENSMUSG00000048758.15;0;9,57E+05
ENSMUSG00000048758;ENSMUST00000098994;ENSMUST00000098994.7;ENSMUSG00000048758.15;0;8,52E-27
ENSMUSG00000048758;ENSMUST00000150576;ENSMUST00000150576.8;ENSMUSG00000048758.15;0;4,27E-21
ENSMUSG00000049339;ENSMUST00000097694;ENSMUST00000097694.11;ENSMUSG00000049339.17;0.00963488357419381;0
ENSMUSG00000049339;ENSMUST00000186037;ENSMUST00000186037.7;ENSMUSG00000049339.17;0.00963488357419381;0
ENSMUSG00000049517;ENSMUST00000224430;ENSMUST00000224430.2;ENSMUSG00000049517.9;0;0
ENSMUSG00000049517;ENSMUST00000224463;ENSMUST00000224463.2;ENSMUSG00000049517.9;0;0
ENSMUSG00000049775;ENSMUST00000112172;ENSMUST00000112172.4;ENSMUSG00000049775.17;0;3,51E-273
ENSMUSG00000049775;ENSMUST00000112175;ENSMUST00000112175.2;ENSMUSG00000049775.17;0;4,87E-37
ENSMUSG00000049775;ENSMUST00000112176;ENSMUST00000112176.8;ENSMUSG00000049775.17;0;1,17E-104
ENSMUSG00000049988;ENSMUST00000052437;ENSMUST00000052437.6;ENSMUSG00000049988.6;8,87E+02;0
ENSMUSG00000049988;ENSMUST00000210609;ENSMUST00000210609.2;ENSMUSG00000049988.6;8,87E+02;0
ENSMUSG00000050212;ENSMUST00000052876;ENSMUST00000052876.3;ENSMUSG00000050212.5;0.00604077954766183;0
ENSMUSG00000050212;ENSMUST00000106152;ENSMUST00000106152.3;ENSMUSG00000050212.5;0.00604077954766183;0
ENSMUSG00000050335;ENSMUST00000144794;ENSMUST00000144794.2;ENSMUSG00000050335.18;0;3,40E-42
ENSMUSG00000050335;ENSMUST00000146468;ENSMUST00000146468.4;ENSMUSG00000050335.18;0;5,61E-16
ENSMUSG00000050335;ENSMUST00000151405;ENSMUST00000151405.9;ENSMUSG00000050335.18;0;2,42E-13
ENSMUSG00000050708;ENSMUST00000094434;ENSMUST00000094434.13;ENSMUSG00000050708.17;0;5,27E-74
ENSMUSG00000050708;ENSMUST00000210106;ENSMUST00000210106.2;ENSMUSG00000050708.17;0;5,08E+05
ENSMUSG00000050708;ENSMUST00000210375;ENSMUST00000210375.2;ENSMUSG00000050708.17;0;0
ENSMUSG00000050708;ENSMUST00000211500;ENSMUST00000211500.2;ENSMUSG00000050708.17;0;2,58E-64
ENSMUSG00000050708;ENSMUST00000211694;ENSMUST00000211694.2;ENSMUSG00000050708.17;0;7,57E-250
ENSMUSG00000050732;ENSMUST00000059983;ENSMUST00000059983.10;ENSMUSG00000050732.10;0;0
ENSMUSG00000050732;ENSMUST00000142613;ENSMUST00000142613.2;ENSMUSG00000050732.10;0;0
ENSMUSG00000050856;ENSMUST00000049628;ENSMUST00000049628.16;ENSMUSG00000050856.17;0;0
ENSMUSG00000050856;ENSMUST00000123184;ENSMUST00000123184.2;ENSMUSG00000050856.17;0;0
ENSMUSG00000051391;ENSMUST00000055808;ENSMUST00000055808.6;ENSMUSG00000051391.10;0;0
ENSMUSG00000051391;ENSMUST00000198270;ENSMUST00000198270.2;ENSMUSG00000051391.10;0;0
